,hmid,moment,concepts,agency,social,age,country,gender,married,parenthood,reflection,duration
0,114385,"I chatted with our bread vendor at work, and that makes me very happy because I have a huge crush on him and he's always brightening my day.",career,yes,yes,32.0,USA,f,single,n,24h,all_day_im_still_feeling_it
1,29222,My friend and I took a long walk.,exercise,yes,yes,42.0,USA,f,separated,y,24h,half_a_day
2,62273,"Last month, I received news of a new title promotion and salary that I will be receiving starting in June.",career,yes,yes,31,USA,m,divorced,n,3m,all_day_im_still_feeling_it
3,67182,Going to the Botanic Garden to see the cherry blossoms in bloom.,weather,yes,no,29,USA,f,married,n,3m,half_a_day
4,75321,We had a big family reunion and I saw all my relatives I haven't seen in a long time.,family,yes,yes,59,USA,f,married,y,3m,all_day_im_still_feeling_it
5,114484,"I listened to my favorite song by my favorite band, The Monkees.",entertainment,yes,no,24,USA,f,single,n,24h,a_few_minutes
6,30378,"It made me happy to receive a call from my brother, who is in another country that I had not heard in a long time, told me that he is very well and that I am going to be uncle.",family|conversation,no,yes,33,VEN,m,married,n,24h,all_day_im_still_feeling_it
7,46044,A friend told me tonight that she is getting married and I was excited for her.,romance,no,yes,41,USA,f,single,n,24h,all_day_im_still_feeling_it
8,104916,"I went to see a NBA game for my birthday, and I had never been to one before.",entertainment,yes,no,22.0,USA,m,single,n,3m,half_a_day
9,115346,When my son gave me some money.,family,no,yes,60.0,USA,f,single,y,24h,half_a_day
10,122220,getting off work.,career,yes,no,25,AFG,m,married,n,24h,all_day_im_still_feeling_it
11,33613,An event that happened this morning that made me happy was going to my Mother's home and having a cup of tea with her.,family,yes,yes,58,USA,m,married,y,24h,all_day_im_still_feeling_it
12,48897,I went to my child's parent-teacher conference where the teacher praised my child.,education,yes,yes,32,USA,m,married,y,24h,a_few_minutes
13,38794,I went to church.,religion,yes,no,43,USA,f,married,y,24h,at_least_one_hour
14,66966,I was very happy when Kent has picked most of the furniture for his house based upon my suggestions.,family,no,yes,58,USA,f,single,n,3m,all_day_im_still_feeling_it
15,53169,I WENT TO SHOPPING,shopping,yes,no,27,IND,m,married,n,24h,half_a_day
16,30972,My result came and I scored distinction,education,yes,no,23,IND,m,single,n,24h,all_day_im_still_feeling_it
17,50935,I got a small bonus for some work I did.,career,no,no,36,USA,f,married,y,24h,at_least_one_hour
18,68419,"I went away with my family for a short vacation to Hershey Park, Pa.",vacation|family,yes,yes,52,USA,m,married,y,3m,all_day_im_still_feeling_it
19,30712,"I had a bad day at work, and after talking to my boyfriend about it, he surprised me by taking me out to my favorite restaurant.",food,yes,yes,23,USA,f,single,n,24h,at_least_one_hour
20,63452,"A few days ago I found out that the weather was going to be really nice this upcoming weekend, which made me excited.",weather,no,no,22,USA,f,single,n,3m,at_least_one_hour
21,111076,An event that made me happy was going on vacation with family and friends to Cancun and swimming at night.,vacation,yes,yes,42.0,USA,f,married,y,24h,all_day_im_still_feeling_it
22,71116,I found out that I was accepted to medical school in an underserved community which will allow me to continue to have an impact on the way others live their lives.,education,yes,yes,24.0,USA,f,single,n,3m,all_day_im_still_feeling_it
23,115394,The network went down at work and I got to go home early.,career,no,no,26,USA,m,single,n,24h,half_a_day
24,65722,I was able to pay off my bills that I was holding onto for months using the money I had made from the job I was finally able to get.,career,yes,no,23.0,USA,m,single,n,3m,all_day_im_still_feeling_it
25,77418,I went to a local soccer match with a few friends.,entertainment,yes,yes,30,USA,m,married,n,3m,at_least_one_hour
26,126106,"I got a phone call about a job interview, I am currently looking for work so it was exciting.",career,yes,no,22.0,USA,m,single,n,24h,all_day_im_still_feeling_it
27,45415,"I repaired my PC, which had started giving many problems.",exercise,yes,no,29,IND,m,single,n,24h,at_least_one_hour
28,96266,"I got my first salary as Rs.3000/- i have spent Rs 3000/- to purchase costumes for my parent's,i felt so happy.That time, its a great money for me and my parents.",family,yes,no,30.0,IND,f,married,y,3m,half_a_day
29,113912,I bought a special tool and cleaned my mini-blinds to a shine.,shopping,yes,no,32,USA,f,married,y,24h,all_day_im_still_feeling_it
30,117143,I reconnected with an old friend,conversation,yes,yes,20.0,USA,m,single,n,24h,all_day_im_still_feeling_it
31,62992,The Pittsburgh Penguins are winning 3-1 in their series and currently 3-0 in game 5.,entertainment,no,yes,24.0,USA,m,married,n,3m,half_a_day
32,120562,I took my son--just the two of us--out of school and to the barber for a hair cut today.,education|family,yes,yes,26,USA,m,single,n,24h,at_least_one_hour
33,28655,My girlfriend told me she is really happy with me and that she was happy she met me.,romance|conversation,no,yes,25.0,USA,m,single,n,24h,half_a_day
34,65772,"My best friend got time off of work, and is flying out to come stay with me for a weekend to be my date to a wedding I was stressing out about attending alone.",romance|career,yes,yes,24,USA,f,single,n,3m,all_day_im_still_feeling_it
35,92445,My wife made me a good dinner when she got home.,food|family,no,yes,30.0,USA,m,married,y,3m,at_least_one_hour
36,78139,"Today, all teachers at my school were given a free lunch and gift card for teacher appreciation day, which was awesome!",education|food,yes,yes,34,USA,m,married,y,3m,all_day_im_still_feeling_it
37,124650,I bought a new pc game,shopping|entertainment|technology,yes,no,28,USA,m,single,n,24h,half_a_day
38,76689,I went to see my favorite band in NYC for New Years Eve.,entertainment,yes,yes,37.0,USA,f,single,n,3m,half_a_day
39,125721,I ate a very good brownie.,food,yes,yes,25.0,USA,m,single,n,24h,a_few_minutes
40,120935,our project went to live today.,career,no,yes,22,IND,m,single,y,24h,all_day_im_still_feeling_it
41,76988,I found out I was pregnant with my first child.,family,yes,yes,25.0,USA,f,married,n,3m,all_day_im_still_feeling_it
42,63081,My boyfriend being offered an amazing job.,career,no,yes,30,USA,f,divorced,y,3m,all_day_im_still_feeling_it
43,50752,We went to beach and play some games.,entertainment|exercise,yes,yes,40,IND,f,married,y,24h,half_a_day
44,98469,"Just booked the trip, and it was under $500.00 for 5 days and 4 night cruise.",vacation,yes,no,30.0,USA,f,married,y,3m,all_day_im_still_feeling_it
45,56891,I packed for my trip to Los Angeles to see my high school friends and have an informal reunion.,vacation,yes,yes,29,USA,f,single,n,24h,all_day_im_still_feeling_it
46,82332,I was happy when I visited my friend's dogs.,animals,yes,yes,19,USA,m,single,n,3m,all_day_im_still_feeling_it
47,86463,I was happy that my daughter took me out for the day for my Birthday.,family,yes,yes,40.0,USA,f,married,y,3m,all_day_im_still_feeling_it
48,120441,When I got to work the previous supervisor for whom I was taking over had already taken care of most of the work that needed to be done.,career,no,yes,34,USA,m,single,n,24h,at_least_one_hour
49,54758,Enjoying my Coffiest drink.,food,yes,no,33.0,USA,m,single,n,24h,a_few_minutes
50,94818,"I, started exercising at the gym.",exercise,yes,no,54.0,USA,f,married,y,3m,half_a_day
51,106598,I attended a good friends wedding.,party,yes,yes,29,USA,m,single,y,3m,half_a_day
52,67033,My mom took my sons to the carnival for the first time and the boys had an amazing time riding on the rides.,family,no,yes,29,USA,f,married,y,3m,
53,96896,Two months ago I found a new job related to what I'm going to school for.,career,yes,no,34.0,USA,f,single,n,3m,all_day_im_still_feeling_it
54,27870,I cooked a new recipe for dinner and it turned out great,food,yes,no,61,USA,f,married,y,24h,half_a_day
55,52929,My wife and I had a wonderful lunch at a restaurant that is my lunchtime favorite restaurant.,food,yes,yes,70,USA,m,married,y,24h,at_least_one_hour
56,92497,When I got a chance to tan outside after months of cold and rain,weather,yes,no,23,USA,m,single,n,3m,at_least_one_hour
57,38324,Having lunch with my mother.,food|family,yes,yes,43,USA,m,single,y,24h,at_least_one_hour
58,35797,I video chatted with my parents whom I haven't seen for several weeks now as they are overseas.,family,yes,yes,35,USA,m,married,n,24h,half_a_day
59,111732,An event that made me happy was attending my sister's 50th birthday celebration.,party|family,yes,yes,60,USA,m,married,y,24h,half_a_day
60,82180,Watching my favorite hockey team on TV.,entertainment,yes,no,21.0,USA,m,single,n,3m,at_least_one_hour
61,97457,I ate my favorite lunch with my favorite drink.,food,yes,no,37,USA,m,single,n,3m,a_few_minutes
62,70968,I won a contest to see a concert in another city.,entertainment,yes,no,27.0,USA,f,single,n,3m,all_day_im_still_feeling_it
63,49956,I didn't have to go to work due to weather.,career|weather,no,no,31.0,USA,f,married,y,24h,all_day_im_still_feeling_it
64,63319,MY BIRTHDAY PARTY CELEBRATED WITH MY FRIENDS,party,yes,yes,32,IND,m,married,y,3m,at_least_one_hour
65,80880,Went to Ooty for this summer holidays,vacation,yes,no,29,IND,m,married,y,3m,half_a_day
66,40966,The event basketball cavs vs golden .Cavs won with Lebron MVP of the mactch made me happy,entertainment,no,no,26,GBR,m,single,y,24h,half_a_day
67,118600,My daughter wrote me a Birthday card and expressed feelings of why she loves and values me over and above just being Mom.,family,no,yes,,USA,f,divorced,y,24h,all_day_im_still_feeling_it
68,48882,I reached my exercise goal for the day.,exercise,yes,no,43,USA,f,married,y,24h,at_least_one_hour
69,119300,"I could fit in my old jeans today very easily , felt like my diet plan was pretty successful.",food,yes,no,23,IND,f,single,n,24h,all_day_im_still_feeling_it
70,91203,i was able to exercise and lose a little weight,exercise,yes,no,24,USA,m,single,n,3m,a_few_minutes
71,108282,Cooking and reuniting the family makes me happy.,family,yes,yes,35.0,USA,f,married,y,3m,half_a_day
72,57344,I got to have time alone with  my husband without the kids around.,family|romance,yes,yes,35.0,USA,f,married,y,24h,at_least_one_hour
73,67380,I ate a candy bar.,food,yes,no,38,USA,m,married,y,3m,a_few_minutes
74,123707,Made fried rice without burning anything,food,yes,no,21.0,CAN,m,single,n,24h,a_few_minutes
75,71362,I completed a work project that I had been stalling on for months.,career,yes,no,37,USA,f,single,n,3m,all_day_im_still_feeling_it
76,119691,When I decided not to visit a sweet shop anymore as the owner misbehaved finding perhaps that I am too dependent on his shop.,shopping,yes,yes,42,IND,m,single,n,24h,a_few_minutes
77,43517,"My friend cooked me a frozen pizza, and it was delicious.",food,no,yes,25,USA,m,single,n,24h,at_least_one_hour
78,125241,My happy moment would be the day I got hired for a position.,career,no,no,38.0,USA,m,single,n,24h,all_day_im_still_feeling_it
79,119822,I liked my dinner.,food,no,no,36.0,USA,m,single,n,24h,at_least_one_hour
80,89372,"When I passed my math test last week, i felt accomplished",education,yes,no,18,USA,m,single,n,3m,half_a_day
81,124989,I went to lunch with my grandmother and sister.,family|food,yes,yes,21.0,USA,f,single,n,24h,half_a_day
82,86672,I booked a good lead at work and got a bonus.,career,yes,yes,23.0,USA,m,single,n,3m,at_least_one_hour
83,42669,I had a long discussion with my friend and helped him through a troubling time.,conversation,yes,yes,30.0,USA,m,single,n,24h,half_a_day
84,55138,Went with my boyfriend to the fair!,romance,yes,yes,25,USA,f,single,n,24h,half_a_day
85,60588,An event that made me happy was going out on a boat with my parents in Florida.,vacation,yes,yes,30,USA,f,single,n,3m,all_day_im_still_feeling_it
86,65668,My nieces are at a silly age and made me laugh on Easter.,family,no,yes,30,USA,f,married,n,3m,all_day_im_still_feeling_it
87,38564,my family going to temple,religion|family,no,yes,25,IND,f,married,y,24h,a_few_minutes
88,99093,i plan to go to restaurant for celebrate this promotion.so me and my friends also .it gives lot of goodness to my self.it is very good memory in my life.,party,yes,yes,29.0,IND,f,married,y,3m,half_a_day
89,100483,I got off work,career,no,no,27,USA,f,single,n,3m,all_day_im_still_feeling_it
90,39704,My wife added a couple of snails to her fish tank and I really like one because it's huge I call it Snailzilla.,family,no,yes,55,USA,m,married,n,24h,a_few_minutes
91,59668,I received a promotion at work two months ago.,career,no,no,25,USA,f,single,n,3m,all_day_im_still_feeling_it
92,33778,I worked out for an hour.,exercise,yes,no,42,USA,f,single,n,24h,at_least_one_hour
93,81275,i got a girlfriend,romance,yes,yes,21,USA,m,single,n,3m,at_least_one_hour
94,119882,I started reading the Great Gatsby and it is terrific.,entertainment,yes,no,24.0,USA,m,single,n,24h,at_least_one_hour
95,45264,I ate a hearty dinner and was very satiated.,food,yes,no,24.0,USA,m,single,n,24h,at_least_one_hour
96,128748,My husband called me just to tell me he loved me.,romance|family,no,yes,58,USA,f,married,n,24h,a_few_minutes
97,39633,I bought fresh fish from the market at a very low price and it made me happy as the fish was very tasty,food|shopping,yes,no,29,IND,f,married,y,24h,at_least_one_hour
98,89127,My daughter arrived last night for a visit!,family,no,yes,49,USA,f,married,y,3m,all_day_im_still_feeling_it
99,72533,"I got to see my friends' dogs after they had been away, sick, awhile.",animals,yes,no,28,USA,m,single,n,3m,half_a_day
100,57539,My husband is home and we can spend time together,romance,no,yes,27,USA,f,married,n,24h,all_day_im_still_feeling_it
101,40346,Watching a couple new movies that I had been wanting to see.,entertainment,yes,no,31.0,USA,f,single,n,24h,at_least_one_hour
102,63344,The day that I got my dream job working with snakes at the zoo filled me with joy.,career|family,yes,no,31,USA,m,divorced,n,3m,all_day_im_still_feeling_it
103,116089,I bought a new cell phone for my dad.,shopping,yes,yes,23,USA,m,single,n,24h,half_a_day
104,63199,I bought a nice black three-piece suit for the first time.,shopping,yes,no,26,USA,m,married,n,3m,a_few_minutes
105,99673,My son and I played golf together at a new golf course that we wanted to play at.,family,yes,yes,44,THA,m,married,y,3m,all_day_im_still_feeling_it
106,104480,HAPPY TO IN WORK,career,yes,no,20.0,IND,f,single,n,3m,at_least_one_hour
107,51192,I lay in the sun on the university lawn and read a book.,education,yes,no,23,USA,m,single,n,24h,at_least_one_hour
108,44499,"Visited with my family, today.",family,yes,yes,76.0,USA,m,divorced,y,24h,half_a_day
109,61359,A book that I wrote made it on to a hot new releases chart on Amazon.,entertainment,yes,no,45,USA,f,married,y,3m,all_day_im_still_feeling_it
110,35770,I was happy when i cooked and ate a delicious breakfast this morning,food,yes,no,19,USA,m,single,n,24h,at_least_one_hour
111,32971,Pushing my little girl on her bike,family,yes,yes,34,USA,m,married,y,24h,a_few_moment
112,125813,Watching my friend lose in a fighting video game.,entertainment,no,yes,26,USA,m,single,n,24h,a_few_minutes
113,99858,i am very happy in watching movie,entertainment,yes,no,32,USA,m,married,y,3m,at_least_one_hour
114,110135,Finished watching Unbreakable Kimmy Schmidt: Season 3.,entertainment,yes,no,32.0,USA,m,single,n,24h,half_a_day
115,80498,I was happy when I was able to pay for part of my plane ticket with points instead of dollars.,shopping,yes,no,35.0,USA,f,divorced,n,3m,at_least_one_hour
116,77174,I felt happy when i got a job after being unemployed for so long.,career,yes,no,25.0,USA,m,married,n,3m,all_day_im_still_feeling_it
117,38392,I completed a 10 page research paper.,education,yes,no,21.0,USA,f,single,n,24h,a_few_minutes
118,29549,Found a new house listed for sale that is both attractive and in my price range.,shopping,yes,no,42.0,USA,m,married,n,24h,all_day_im_still_feeling_it
119,119946,Im got to see friends for lunch,food,yes,yes,25.0,USA,m,married,n,24h,at_least_one_hour
120,59899,Getting 13 granddaughter,family,no,yes,63,USA,f,widowed,y,3m,all_day_im_still_feeling_it
121,123561,I WANT TO SCHOOL,education,yes,no,27,IND,m,married,n,24h,half_a_day
122,87319,I have started a new business.,career,yes,no,29,IND,f,married,y,3m,all_day_im_still_feeling_it
123,122779,We tried a new cat food on the fussy cat today and she loves it.,animals|food,yes,yes,61,USA,f,married,n,24h,all_day_im_still_feeling_it
124,89150,When I got called to work on a localization for a game.,career|entertainment,no,no,32,BRA,m,single,n,3m,all_day_im_still_feeling_it
125,71490,I had a great run outside on a sunny day.,weather|exercise,yes,no,43.0,USA,f,married,y,3m,half_a_day
126,86153,I was able to go out to lunch with my friends and have great conversation.,food,yes,yes,27,USA,m,married,y,3m,all_day_im_still_feeling_it
127,91789,I found out one of my favorite bands ever is coming to town!,entertainment,no,no,35,USA,f,single,n,3m,all_day_im_still_feeling_it
128,128074,I received a new order for my business today.,career,yes,no,41,IND,m,married,y,24h,all_day_im_still_feeling_it
129,109998,Watching a funny video that my boyfriend tagged me in on Facebook.,entertainment,yes,yes,28,USA,f,single,n,24h,a_few_minutes
130,106545,"Compartir con mis amigos, beber cerveza y jugar cartas y domino",family,yes,yes,33,VEN,m,married,y,3m,half_a_day
131,119037,I completed a mission in the video game Titanfall 2 that took many tries to beat.,entertainment,yes,no,21.0,CAN,m,single,n,24h,half_a_day
132,93929,My husband was coming from dubai,family,no,yes,21.0,IND,f,single,n,3m,all_day_im_still_feeling_it
133,42160,I cooked a pork roast in the crock pot and it turned out really well.,food,yes,no,55,USA,f,married,y,24h,all_day_im_still_feeling_it
134,63649,I was happy when my son with dyslexia completed reading a chapter book all by himself.,family|education,no,yes,42,USA,f,married,y,3m,all_day_im_still_feeling_it
135,111608,I WENT TO TEMPLE,religion,yes,no,27.0,IND,m,single,n,24h,at_least_one_hour
136,47453,My wife bought me a pair of shorts that I've been wanting to get.,shopping|family,no,yes,34.0,USA,m,married,y,24h,half_a_day
137,53771,I finished work early.,career,yes,no,41,USA,m,divorced,n,24h,at_least_one_hour
138,108706,I went to the movies last friday and I see a good movie,entertainment,yes,no,44,VEN,f,married,y,3m,half_a_day
139,123455,I bought a burger and they gave me a another one for free this evening!,food,yes,yes,25.0,USA,m,single,n,24h,
140,64455,starting exercising and lost 20 pounds,exercise,yes,no,29,USA,m,single,n,3m,all_day_im_still_feeling_it
141,38917,Another event that made me happy was walking my dog.,animals,yes,no,23,USA,m,single,n,24h,a_few_minutes
142,84730,My favorite NBA team advanced to the Western Conference finals.,entertainment,no,no,29,USA,m,single,n,3m,all_day_im_still_feeling_it
143,49925,When I was able to make some progress on a project I've been working on all week.,career,yes,no,28.0,USA,m,single,n,24h,half_a_day
