,hmid,moment,concepts,agency,social,age,country,gender,married,parenthood,reflection,duration
0,106799,I helped a lost cat get back to its owner.,animals,yes,yes,26,USA,m,single,n,3m,at_least_one_hour
1,44036,The day with my wife,romance|family,yes,yes,31,IND,m,married,y,24h,all_day_im_still_feeling_it
2,114342,I ate from my favorite restaurant.,food,yes,yes,29,USA,m,single,n,24h,half_a_day
3,51255,I ran into my friend Paul biking home and we stopped and chatted.,conversation,yes,yes,37,USA,m,single,n,24h,a_few_minutes
4,85621,"I was extremely happy when, about two weeks ago, my son in his first year of soccer scored his first goal.",family,no,no,36,USA,m,married,y,3m,half_a_day
5,122614,I got promoted in League of Legends from Gold II to Gold I.,entertainment,yes,no,20,USA,m,single,n,24h,a_few_minutes
6,36028,I bought a new car,shopping,yes,no,32.0,IND,m,married,y,24h,all_day_im_still_feeling_it
7,113899,I saw a cute bunny in my yard.,animals,no,yes,21,CAN,m,single,n,24h,a_few_minutes
8,62619,I went to the Red Sox game and they won.,entertainment,no,yes,37,USA,m,single,n,3m,at_least_one_hour
9,126383,I got a lunch free lunch at the cafeteria.,food,no,no,43,USA,m,married,y,24h,at_least_one_hour
10,93914,I helped my friend do some work on his pool.,exercise,yes,yes,25.0,USA,m,single,n,3m,all_day_im_still_feeling_it
11,128246,I have received a lot of great feedback on some of the pictures that I've taken lately.,entertainment,yes,yes,30.0,USA,m,married,n,24h,a_few_minutes
12,83119,I completed a semester of college.,education,yes,no,19,USA,m,single,n,3m,a_few_minutes
13,45653,I got a lot of work done that I needed to complete today.,career,yes,no,36,USA,f,single,n,24h,at_least_one_hour
14,92318,I finally was able to afford a new pair of shoes ive been wanting for at least a year,shopping,yes,no,27.0,USA,m,married,n,3m,half_a_day
15,55855,Helping my dad replace our old floor made me happy.,family,yes,yes,26.0,USA,m,single,n,24h,at_least_one_hour
16,29128,I spent some quality time with some coworkers I really like.,career,yes,yes,27,USA,m,single,n,24h,at_least_one_hour
17,85561,I bought a new flavor of coffee just so that I could try something new and when I drank it I really liked it.,shopping,yes,no,41,USA,f,single,n,3m,at_least_one_hour
18,109271,I'd just got the Masters qualification on Mturk.,career,yes,no,28,USA,f,married,y,24h,all_day_im_still_feeling_it
19,36350,My husband and I cuddled and fell asleep,romance|family,yes,yes,43,USA,f,married,y,24h,all_day_im_still_feeling_it
20,49121,"Today, at work, I received a $100 bonus!",career,yes,no,34.0,USA,m,married,y,24h,all_day_im_still_feeling_it
21,95451,My girlfriend gave me a big hug after she came home.,romance,no,yes,27,USA,m,single,n,3m,at_least_one_hour
