,hmid,moment,concepts,agency,social,age,country,gender,married,parenthood,reflection,duration
0,117926,I got to have a milkshake from steak and shake which is an establishment that is not local to us.,food,yes,yes,25.0,USA,f,single,n,24h,at_least_one_hour
1,76971,my husband was released from jail.,family,yes,yes,34,USA,f,married,n,3m,all_day_im_still_feeling_it
2,116317,"I got to have some pizza, which is my favorite food.",food,yes,no,35,USA,m,married,y,24h,a_few_minutes
3,53543,I drove on the freeway listening to loud music by myself.,entertainment,yes,no,22,USA,m,single,n,24h,at_least_one_hour
4,127432,Being able to make the chat feature work in my app made me happy.,career,yes,no,19.0,IND,m,single,n,24h,a_few_minutes
5,121030,Played computer games with a friend before bed.,entertainment,yes,yes,32,USA,m,single,n,24h,at_least_one_hour
6,88458,I lifted weights for the first time in months,exercise,yes,no,31,USA,m,single,n,3m,half_a_day
7,33005,"After weeks of looking for a new job, with no success, I got 2 spontaneous job offers via email.",career,yes,no,36,USA,f,single,n,24h,half_a_day
8,38780,Watched my daughter with the easter bunny yesterday.,family,no,yes,41,USA,m,married,y,24h,a_few_minutes
9,108276,My stocks are making money today.,career,no,no,37.0,USA,m,married,n,3m,at_least_one_hour
10,60745,Getting a call from an old friend I haven't seen in over a year.,conversation,no,yes,52,USA,f,widowed,n,3m,half_a_day
11,44130,A long chat with my dad past night make me feel happy,conversation,yes,yes,25.0,IND,m,married,y,24h,at_least_one_hour
12,42355,i attended an enthusiastic and very joyful sports day in my daughter's school in which she won a prize.,family|education,yes,yes,43,IND,m,married,y,24h,half_a_day
13,47579,I WENT TO SHOPPING,shopping,yes,no,27,IND,m,married,n,24h,half_a_day
14,117763,I finally got a package of ties in the mail that I had been waiting for for several weeks.,shopping,no,no,39,USA,m,married,y,24h,at_least_one_hour
15,56299,"I had made chicken biryani, today afternoon for the first time and it turned out really delicious.",food,yes,no,24.0,IND,f,married,y,24h,at_least_one_hour
16,41138,i kissed my love to day,romance,yes,yes,30,IND,m,single,n,24h,half_a_day
17,105065,I finished an analysis of data for work.,career,yes,yes,43.0,USA,f,divorced,y,3m,half_a_day
18,106998,I get to relax and watch the warriors play tonight at my friends house,entertainment,yes,yes,28.0,USA,m,single,n,3m,all_day_im_still_feeling_it
19,66059,I spent all Saturday shopping with my daughter.,shopping|family,yes,yes,74,USA,f,married,y,3m,all_day_im_still_feeling_it
20,111925,"My car didn't die on me, as it's having issues, that is amazing.",shopping,no,no,36,USA,o,single,y,24h,at_least_one_hour
21,128080,It started to pour down rain and storm,weather,no,no,51.0,USA,m,divorced,y,24h,all_day_im_still_feeling_it
22,83593,Ate some great shrimp fried rice with my mom for lunch,food,yes,yes,21,USA,m,single,n,3m,at_least_one_hour
23,90535,"I went for a run and exercised during a nice, cool, sunny evening",exercise|weather,yes,no,26.0,USA,m,single,n,3m,at_least_one_hour
